"RR","DET","maxL","L","ENTR","LAM","TT","study","group","trial","condition"
0.0465081513840328,0.198412698412698,2,2,0,0.198412698412698,2,"Study1","G3","T2","TurnTaking"
0.103554137736911,NA,0,0,NA,0,0,"Study1","G3","T3","Synchronous"
0.0391656173779817,NA,0,0,NA,0,0,"Study1","G4","T1","Synchronous"
0.0456156152551319,NA,0,0,NA,0,0,"Study1","G4","T3","TurnTaking"
0.0345099934631763,NA,0,0,NA,0,0,"Study2","G10","T1","Conversation"
0.0391176989615838,NA,0,0,NA,0,0,"Study2","G10","T2","TurnTaking"
0.0388691505322091,NA,0,0,NA,0,0,"Study2","G10","T3","Synchronous"
0.446526812926583,0.787839862984372,2,2,0,2.9800899165061,2,"Study2","G5","T1","Synchronous"
0.399092301135924,0.488646162690428,2,2,0,4.32116508575261,2,"Study2","G5","T2","TurnTaking"
0.231953041936429,0.29673590504451,2,2,0,0.824266402901418,2,"Study2","G5","T3","Conversation"
0.0196544450305514,NA,0,0,NA,0,0,"Study2","G6","T1","TurnTaking"
0.10414179190799,0.44060950982192,2,2,0,2.58858087020378,2.01428571428571,"Study2","G6","T2","Conversation"
0.0818297905941244,0.233644859813084,2,2,0,1.1214953271028,2,"Study2","G6","T3","Synchronous"
0.0349114947721662,0.328587075575027,2,2,0,0.985761226725082,2,"Study2","G7","T1","Conversation"
0.0472050824712367,NA,0,0,NA,0,0,"Study2","G7","T2","Synchronous"
0.00376646466052395,NA,0,0,NA,0,0,"Study2","G7","T3","TurnTaking"
0.348254587773826,0.861926983255559,3,2.01282051282051,0.0685932179365961,3.60142739500412,2.00611620795107,"Study2","G8","T1","TurnTaking"
0.35917159955636,1.11785372085596,2,2,0,4.74289364420313,2.0158371040724,"Study2","G8","T2","Synchronous"
0.0910069633710356,0.504201680672269,2,2,0,0.378151260504202,2,"Study2","G8","T3","Conversation"
0.0321392238291409,NA,0,0,NA,0,0,"Study2","G9","T1","Synchronous"
0.0254666544559284,0.15015015015015,2,2,0,0,NA,"Study2","G9","T2","Conversation"
0.0466697473925836,0.0819336337566571,2,2,0,0,NA,"Study2","G9","T3","TurnTaking"
