"RR","DET","maxL","L","ENTR","LAM","TT","study","group","trial","condition"
3.31143351710601,6.43955236176064,4,2.03077537969624,0.138173668783884,8.19994170056905,2.03171612498037,"Study1","G3","T2","TurnTaking"
3.808058065344,7.52376839705789,4,2.04109852122143,0.172796036991951,9.80539293071592,2.05595962594627,"Study1","G3","T3","Synchronous"
3.03172992881049,6.05133083779703,3,2.02772002772003,0.126725161997495,7.72237503360702,2.07041863044081,"Study1","G4","T1","Synchronous"
3.01313148210104,6.07046563747853,4,2.03121431290445,0.139873454087677,11.0749593292454,2.05206576728499,"Study1","G4","T3","TurnTaking"
3.31167983973469,6.41143764892772,4,2.03359086328519,0.148084342955703,10.8541170240932,2.11559500464444,"Study2","G10","T1","Conversation"
3.59618443978687,7.05257614324585,4,2.04395138496326,0.182161725555551,8.19947921238187,2.06572481572482,"Study2","G10","T2","TurnTaking"
3.53678989587805,7.19976994055145,4,2.03774908784732,0.162094218527859,12.1391066355293,2.10933057637632,"Study2","G10","T3","Synchronous"
3.83546361062712,7.66691508282317,4,2.04052080798248,0.171178699244857,10.9670399005116,2.06499655647383,"Study2","G5","T1","Synchronous"
3.20891868611623,6.16372479370457,4,2.03739161849711,0.160900720963581,6.58451281490792,2.05124276472591,"Study2","G5","T2","TurnTaking"
3.41121436327365,6.66646103862723,4,2.03611241953211,0.156645108164504,9.60025909132969,2.02900912646675,"Study2","G5","T3","Conversation"
3.36944353257073,6.62940294778916,4,2.03742802303263,0.160925843691074,8.59980014988759,2.03422380893758,"Study2","G6","T1","TurnTaking"
3.5805949064137,7.04165340255161,4,2.03567888999009,0.155191373911568,10.1736170629576,2.05246517142575,"Study2","G6","T2","Conversation"
3.37621244132443,6.77037344829377,4,2.04054477144646,0.171252985373574,7.68451669869631,2.02782346491228,"Study2","G6","T3","Synchronous"
3.53231820745267,6.84449342706223,4,2.03528196043696,0.153849064833481,10.5603876246078,2.05804953560372,"Study2","G7","T1","Conversation"
3.10505276241621,6.1722398865966,4,2.0314126394052,0.140356437811806,9.48623967198857,2.04791514264813,"Study2","G7","T2","Synchronous"
2.44685529826688,4.89274938545004,4,2.0240142306552,0.113768735681199,8.85023614485462,2.05645295587011,"Study2","G7","T3","TurnTaking"
3.17691542581697,6.17889768995115,4,2.02936910804931,0.133326829791113,7.71175447796208,2.0557680988817,"Study2","G8","T1","TurnTaking"
3.50678574334543,6.9448333800056,4,2.03427567013329,0.150179642199659,10.0092011041325,2.10119672475331,"Study2","G8","T2","Synchronous"
3.4782896896543,6.71183911349073,4,2.03313989004276,0.146459578272704,11.2179923469002,2.04983878397052,"Study2","G8","T3","Conversation"
3.54317301190486,6.90667207784173,4,2.03455314185741,0.151361538706894,9.49512746781753,2.06290322580645,"Study2","G9","T1","Synchronous"
3.37712431504255,6.40194826100051,5,2.0341527800693,0.149888419252167,9.78855760143731,2.08229316248757,"Study2","G9","T2","Conversation"
3.24842736855691,6.20158386551719,4,2.03183586841174,0.141940154597757,8.58332028740627,2.04606871702484,"Study2","G9","T3","TurnTaking"
